,AnimalID,Name,DateTime,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,AgeInDays,Gender,IsDesexed,DayOfWeek,Month,Year,IsWeekend,Hour,TimeOfDay
3318,A694691,None,06-01-15 16:32,Return,Dog,Spayed Female,4 months,Chihuahua Shorthair Mix,Fawn,120,Female,Yes,Tuesday,Jan,15,False,17,Evening
3319,A698491,Ginger,16-03-15 12:02,Adoption,Dog,Spayed Female,3 years,Labrador Retriever Mix,Brown/White,1095,Female,Yes,Monday,Mar,15,False,12,Morning
3320,A678093,Gigi,12-10-14 14:27,Adoption,Dog,Spayed Female,1 year,Pit Bull Mix,White/Brown,365,Female,Yes,Sunday,Oct,14,True,14,Afternoon
3321,A702051,None,08-05-15 14:32,Return,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown,1095,Female,Yes,Friday,May,15,False,15,Afternoon
3322,A701287,None,27-04-15 13:33,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Calico,14,Female,No,Monday,Apr,15,False,14,Afternoon
3323,A670680,Bartleby,20-01-14 11:32,Adoption,Dog,Neutered Male,2 years,German Shepherd/Labrador Retriever,Sable,730,Male,Yes,Monday,Jan,14,False,12,Morning
3324,A679523,Beans,28-07-14 14:39,Transfer,Cat,Unknown,1 year,Domestic Medium Hair Mix,Blue/White,365,Unknown,Unknown,Monday,Jul,14,False,15,Afternoon
3325,A719846,Ziggy,29-01-16 12:23,Return,Dog,Intact Female,1 year,Pit Bull Mix,White/Tan,365,Female,No,Friday,Jan,16,False,12,Morning
3326,A689839,None,10-10-14 14:39,Transfer,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Brown Tabby,21,Male,No,Friday,Oct,14,False,15,Afternoon
3327,A683618,None,14-07-14 10:47,Euthanasia,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White/Orange Tabby,21,Male,No,Monday,Jul,14,False,11,Morning
3328,A674519,None,14-03-14 14:08,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby,14,Male,No,Friday,Mar,14,False,14,Afternoon
3329,A684350,Joan H,23-07-14 16:01,Return,Dog,Spayed Female,2 years,Carolina Dog Mix,Yellow/White,730,Female,Yes,Wednesday,Jul,14,False,16,Afternoon
3330,A716156,Snapper,28-11-15 17:06,Adoption,Dog,Neutered Male,2 years,Pointer/Border Collie,Black/White,730,Male,Yes,Saturday,Nov,15,True,17,Evening
3331,A714471,Cheeks,23-10-15 14:42,Return,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black,2920,Male,Yes,Friday,Oct,15,False,15,Afternoon
3332,A701218,Pip,03-05-15 19:32,Adoption,Dog,Neutered Male,1 year,Manchester Terrier Mix,Red/White,365,Male,Yes,Sunday,May,15,True,20,Evening
3333,A719255,None,16-01-16 15:07,Transfer,Dog,Unknown,1 week,Chihuahua Shorthair Mix,Brown/Black,7,Unknown,Unknown,Saturday,Jan,16,True,15,Afternoon
3334,A665948,None,25-10-13 10:58,Transfer,Dog,Intact Male,4 months,American Bulldog Mix,Brown Brindle/White,120,Male,No,Friday,Oct,13,False,11,Morning
3335,A715709,None,13-11-15 17:55,Adoption,Dog,Spayed Female,2 years,Pekingese Mix,White/Black,730,Female,Yes,Friday,Nov,15,False,18,Evening
3336,A679892,Domino,16-06-14 12:18,Transfer,Dog,Neutered Male,1 year,Pointer Mix,White/Black,365,Male,Yes,Monday,Jun,14,False,12,Morning
3337,A680417,Starburst,08-07-14 11:13,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,60,Male,Yes,Tuesday,Jul,14,False,11,Morning
3338,A665459,Beau,18-10-13 12:54,Return,Dog,Neutered Male,5 months,Australian Cattle Dog/Anatol Shepherd,White/Tan,150,Male,Yes,Friday,Oct,13,False,13,Afternoon
3339,A710811,Cain,07-09-15 15:32,Return,Dog,Intact Male,4 years,American Staffordshire Terrier Mix,Black/White,1460,Male,No,Monday,Sep,15,False,16,Afternoon
3340,A666517,None,05-11-13 16:17,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,365,Female,No,Tuesday,Nov,13,False,16,Afternoon
3341,A686599,None,25-08-14 17:39,Euthanasia,Cat,Intact Female,4 months,Domestic Shorthair Mix,Blue/White,120,Female,No,Monday,Aug,14,False,18,Evening
3342,A607459,Plex,22-05-15 18:46,Return,Dog,Intact Male,4 years,Pit Bull Mix,Blue/White,1460,Male,No,Friday,May,15,False,19,Evening
3343,A665808,Cooter,12-12-13 15:25,Euthanasia,Dog,Neutered Male,2 years,Pit Bull Mix,White/Tan,730,Male,Yes,Thursday,Dec,13,False,15,Afternoon
3344,A708832,None,11-11-15 13:47,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue/White,90,Male,Yes,Wednesday,Nov,15,False,14,Afternoon
3345,A696754,Cambot,01-03-15 13:42,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White,365,Male,Yes,Sunday,Mar,15,True,14,Afternoon
3346,A714635,Roscoe,01-11-15 18:43,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Yellow/White,365,Male,Yes,Sunday,Nov,15,True,19,Evening
3347,A679751,Arwen,12-07-14 13:02,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Calico,120,Female,Yes,Saturday,Jul,14,True,13,Afternoon
3348,A708461,None,28-07-15 11:15,Euthanasia,Cat,Unknown,2 years,Domestic Shorthair Mix,Torbie,730,Unknown,Unknown,Tuesday,Jul,15,False,11,Morning
3349,A716655,Tofurkey,28-11-15 16:49,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie,30,Female,No,Saturday,Nov,15,True,17,Evening
3350,A699673,None,01-04-15 9:00,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,365,Female,No,Wednesday,Apr,15,False,9,Morning
3351,A686360,Jasmine,02-09-14 15:04,Transfer,Cat,Intact Female,10 months,Domestic Shorthair Mix,Brown Tabby/White,300,Female,No,Tuesday,Sep,14,False,15,Afternoon
3352,A709357,Chimi,03-09-15 14:38,Transfer,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Red,365,Male,Yes,Thursday,Sep,15,False,15,Afternoon
3353,A702398,None,25-05-15 13:51,Transfer,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue Tabby,60,Female,No,Monday,May,15,False,14,Afternoon
3354,A688207,Wynken,23-09-14 12:43,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,30,Male,No,Tuesday,Sep,14,False,13,Afternoon
3355,A703382,Jenny,07-06-15 12:36,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Cream Tabby,365,Female,No,Sunday,Jun,15,True,13,Afternoon
3356,A702836,Zio,03-07-15 8:32,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,60,Male,Yes,Friday,Jul,15,False,9,Morning
3357,A673833,None,03-03-14 15:54,Transfer,Cat,Intact Female,3 years,Domestic Shorthair Mix,Blue,1095,Female,No,Monday,Mar,14,False,16,Afternoon
3358,A669365,Daisy,23-12-13 18:03,Adoption,Dog,Spayed Female,5 months,Boxer Mix,Brown/White,150,Female,Yes,Monday,Dec,13,False,18,Evening
3359,A714837,Afina,02-11-15 0:00,Transfer,Dog,Spayed Female,10 months,Pit Bull Mix,Tan/White,300,Female,Yes,Monday,Nov,15,False,0,Night
3360,A710620,Lona,05-09-15 14:41,Transfer,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,White,7,Female,No,Saturday,Sep,15,True,15,Afternoon
3361,A694290,Arielle,26-12-14 11:45,Return,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby,365,Female,Yes,Friday,Dec,14,False,12,Morning
3362,A714723,None,27-10-15 12:35,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black,21,Unknown,Unknown,Tuesday,Oct,15,False,13,Afternoon
3363,A669884,None,29-12-13 14:38,Euthanasia,Cat,Unknown,6 months,Domestic Shorthair Mix,Black,180,Unknown,Unknown,Sunday,Dec,13,True,15,Afternoon
3364,A698922,Red,30-03-15 16:56,Adoption,Dog,Neutered Male,7 years,Boxer/Australian Cattle Dog,Red Merle,2555,Male,Yes,Monday,Mar,15,False,17,Evening
3365,A674718,Poppy,28-03-14 17:50,Adoption,Cat,Spayed Female,2 years,Domestic Longhair Mix,Calico/White,730,Female,Yes,Friday,Mar,14,False,18,Evening
3366,A719292,Bobby,21-01-16 21:06,Adoption,Dog,Neutered Male,5 months,Dachshund Mix,Brown/Black,150,Male,Yes,Thursday,Jan,16,False,21,Night
3367,A667225,None,15-11-13 10:17,Euthanasia,Dog,Intact Female,9 years,Siberian Husky Mix,Gray,3285,Female,No,Friday,Nov,13,False,10,Morning
3368,A538360,Roscoe,15-12-13 11:41,Return,Dog,Spayed Female,9 years,Rat Terrier Mix,White/Black,3285,Female,Yes,Sunday,Dec,13,True,12,Morning
3369,A674568,Porkchop,15-03-14 14:06,Euthanasia,Dog,Intact Male,3 years,Pit Bull Mix,Blue,1095,Male,No,Saturday,Mar,14,True,14,Afternoon
3370,A704557,Rocky,12-06-15 17:45,Adoption,Dog,Neutered Male,2 years,Whippet Mix,Brown/White,730,Male,Yes,Friday,Jun,15,False,18,Evening
3371,A671535,None,27-01-14 16:25,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby,90,Male,No,Monday,Jan,14,False,16,Afternoon
3372,A711906,Selena,17-10-15 15:08,Adoption,Dog,Spayed Female,12 years,Rat Terrier Mix,White/Black,4380,Female,Yes,Saturday,Oct,15,True,15,Afternoon
3373,A678205,Tiger Lily,20-05-14 11:11,Transfer,Cat,Spayed Female,9 months,Domestic Shorthair Mix,Blue Tabby/White,270,Female,Yes,Tuesday,May,14,False,11,Morning
3374,A694204,None,23-12-14 18:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue,60,Male,Yes,Tuesday,Dec,14,False,18,Evening
3375,A712386,Orion,01-10-15 11:49,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,30,Male,No,Thursday,Oct,15,False,12,Morning
3376,A692938,Charles,08-12-14 12:45,Adoption,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tan,2920,Male,Yes,Monday,Dec,14,False,13,Afternoon
3377,A683079,Molly,11-07-14 15:57,Transfer,Dog,Intact Female,2 months,Anatol Shepherd Mix,Brown/White,60,Female,No,Friday,Jul,14,False,16,Afternoon
3378,A682360,Maggie,01-07-14 18:30,Adoption,Dog,Spayed Female,2 years,Dachshund Mix,White/Brown,730,Female,Yes,Tuesday,Jul,14,False,19,Evening
3379,A682057,Rory,27-06-14 16:38,Adoption,Dog,Spayed Female,2 months,Labrador Retriever/Cocker Spaniel,Gold/White,60,Female,Yes,Friday,Jun,14,False,17,Evening
3380,A689019,He-Man,13-10-14 13:25,Adoption,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,60,Male,No,Monday,Oct,14,False,13,Afternoon
3381,A682345,None,26-06-14 17:10,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White/Orange Tabby,21,Male,No,Thursday,Jun,14,False,17,Evening
3382,A700192,Star,21-04-15 16:33,Euthanasia,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle/White,730,Female,Yes,Tuesday,Apr,15,False,17,Evening
3383,A683207,X,22-07-14 11:56,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue/White,365,Female,Yes,Tuesday,Jul,14,False,12,Morning
3384,A687733,None,09-09-14 15:38,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Calico,21,Male,No,Tuesday,Sep,14,False,16,Afternoon
3385,A664386,None,03-10-13 10:28,Euthanasia,Cat,Intact Female,12 years,Domestic Shorthair Mix,Brown Tabby,4380,Female,No,Thursday,Oct,13,False,10,Morning
3386,A432197,Ginger,01-01-14 19:23,Adoption,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Orange Tabby/White,2920,Female,Yes,Wednesday,Jan,14,False,19,Evening
3387,A687511,Sir Pounce,07-09-14 18:03,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Cream Tabby,60,Male,Yes,Sunday,Sep,14,True,18,Evening
3388,A683071,None,06-07-14 18:33,Transfer,Cat,Intact Female,3 days,Domestic Shorthair Mix,Buff/White,3,Female,No,Sunday,Jul,14,True,19,Evening
3389,A690518,None,23-10-14 9:00,Transfer,Cat,Intact Male,4 months,Domestic Shorthair Mix,Black,120,Male,No,Thursday,Oct,14,False,9,Morning
3390,A667863,Kiki,31-01-14 11:22,Adoption,Cat,Intact Female,3 months,Domestic Shorthair Mix,Tortie,90,Female,No,Friday,Jan,14,False,11,Morning
3391,A675194,Sunny,29-03-14 17:11,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Brown,730,Female,Yes,Saturday,Mar,14,True,17,Evening
3392,A711452,None,30-09-15 18:14,Adoption,Cat,Spayed Female,1 month,Domestic Medium Hair Mix,Blue/White,30,Female,Yes,Wednesday,Sep,15,False,18,Evening
3393,A686920,Apache,03-09-14 18:40,Return,Dog,Spayed Female,3 years,Australian Shepherd Mix,Tricolor,1095,Female,Yes,Wednesday,Sep,14,False,19,Evening
3394,A672654,Trippy,14-02-14 17:15,Euthanasia,Dog,Intact Male,6 years,Dachshund Mix,Black,2190,Male,No,Friday,Feb,14,False,17,Evening
3395,A665595,Terrance,23-10-13 16:56,Return,Dog,Neutered Male,6 months,Chihuahua Shorthair,Tricolor,180,Male,Yes,Wednesday,Oct,13,False,17,Evening
3396,A676073,None,06-04-14 15:56,Transfer,Cat,Intact Male,6 months,Domestic Shorthair Mix,Blue,180,Male,No,Sunday,Apr,14,True,16,Afternoon
3397,A713438,Liza,10-10-15 17:50,Adoption,Dog,Spayed Female,2 months,Pit Bull Mix,Red/White,60,Female,Yes,Saturday,Oct,15,True,18,Evening
3398,A685275,Truluck,09-09-14 17:32,Adoption,Dog,Spayed Female,4 years,Chihuahua Shorthair/Beagle,Brown/White,1460,Female,Yes,Tuesday,Sep,14,False,18,Evening
3399,A681406,None,16-06-14 15:11,Transfer,Dog,Intact Male,2 months,Plott Hound/Labrador Retriever,Tan,60,Male,No,Monday,Jun,14,False,15,Afternoon
3400,A689933,Shadow,15-10-14 19:05,Return,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,60,Male,Yes,Wednesday,Oct,14,False,19,Evening
3401,A683021,Pumpkin,30-07-14 18:50,Adoption,Dog,Spayed Female,3 years,Staffordshire/English Bulldog,Brown Brindle,1095,Female,Yes,Wednesday,Jul,14,False,19,Evening
3402,A691428,None,05-11-14 9:00,Transfer,Cat,Intact Female,4 months,Domestic Shorthair Mix,Brown Tabby/White,120,Female,No,Wednesday,Nov,14,False,9,Morning
3403,A696949,Rosie,16-02-15 12:35,Return,Dog,Intact Female,12 years,Yorkshire Terrier,Black/Red,4380,Female,No,Monday,Feb,15,False,13,Afternoon
3404,A636427,Haley,18-06-14 17:16,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White,730,Female,Yes,Wednesday,Jun,14,False,17,Evening
3405,A718173,None,08-01-16 14:37,Transfer,Cat,Spayed Female,9 months,Domestic Shorthair Mix,Tortie,270,Female,Yes,Friday,Jan,16,False,15,Afternoon
3406,A665640,None,20-10-13 18:00,Euthanasia,Cat,Intact Female,1 month,Domestic Longhair Mix,Blue Cream,30,Female,No,Sunday,Oct,13,True,18,Evening
3407,A706202,Dorito,30-06-15 16:23,Transfer,Dog,Intact Female,10 months,Australian Cattle Dog Mix,Black/White,300,Female,No,Tuesday,Jun,15,False,16,Afternoon
3408,A686229,Hercules,20-08-14 17:35,Transfer,Dog,Intact Male,3 years,Weimaraner,Blue,1095,Male,No,Wednesday,Aug,14,False,18,Evening
3409,A690371,Mona,25-10-14 13:11,Transfer,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black,730,Female,Yes,Saturday,Oct,14,True,13,Afternoon
3410,A683744,None,25-07-14 11:14,Transfer,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Orange Tabby,7,Unknown,Unknown,Friday,Jul,14,False,11,Morning
3411,A673439,Aria,28-02-14 10:47,Adoption,Dog,Spayed Female,3 months,Cardigan Welsh Corgi/English Setter,White/Black,90,Female,Yes,Friday,Feb,14,False,11,Morning
3412,A707964,Tyrone,05-09-15 18:40,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White,730,Male,Yes,Saturday,Sep,15,True,19,Evening
3413,A533106,Cookie,14-09-14 15:57,Adoption,Dog,Neutered Male,7 years,Podengo Pequeno Mix,Black/White,2555,Male,Yes,Sunday,Sep,14,True,16,Afternoon
3414,A659341,Bear,03-07-15 14:19,Return,Dog,Neutered Male,9 years,Leonberger Mix,Sable,3285,Male,Yes,Friday,Jul,15,False,14,Afternoon
3415,A535700,Cornal,07-10-14 16:17,Return,Dog,Neutered Male,9 years,Pit Bull,Red/White,3285,Male,Yes,Tuesday,Oct,14,False,16,Afternoon
3416,A680353,Orton,08-07-14 15:23,Transfer,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,60,Male,Yes,Tuesday,Jul,14,False,15,Afternoon
3417,A681710,Bettina,12-07-14 20:03,Adoption,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico,60,Female,Yes,Saturday,Jul,14,True,20,Evening
3418,A685223,Hana,30-10-14 14:52,Adoption,Dog,Spayed Female,6 years,German Shepherd Mix,Black/Tan,2190,Female,Yes,Thursday,Oct,14,False,15,Afternoon
3419,A702464,Bella,15-05-15 11:46,Return,Dog,Intact Female,3 years,Great Pyrenees Mix,White/Brown,1095,Female,No,Friday,May,15,False,12,Morning
3420,A647945,Rocky,16-12-15 17:19,Return,Dog,Neutered Male,6 years,German Shepherd,Black/Tan,2190,Male,Yes,Wednesday,Dec,15,False,17,Evening
3421,A719256,None,16-01-16 15:08,Transfer,Dog,Unknown,1 week,Chihuahua Shorthair Mix,Brown/Black,7,Unknown,Unknown,Saturday,Jan,16,True,15,Afternoon
3422,A703530,Monty,26-05-15 16:13,Return,Dog,Neutered Male,12 years,Yorkshire Terrier Mix,Black/Tan,4380,Male,Yes,Tuesday,May,15,False,16,Afternoon
3423,A702490,Scarlet,22-05-15 16:08,Return,Dog,Spayed Female,8 months,Australian Kelpie Mix,Red/Black,240,Female,Yes,Friday,May,15,False,16,Afternoon
3424,A694867,Dakota,06-01-15 14:11,Return,Dog,Spayed Female,10 years,Labrador Retriever/Redbone Hound,Chocolate/White,3650,Female,Yes,Tuesday,Jan,15,False,14,Afternoon
3425,A678789,Charlie,13-05-14 13:22,Return,Dog,Neutered Male,2 years,Miniature Poodle/Yorkshire Terrier,Red,730,Male,Yes,Tuesday,May,14,False,13,Afternoon
3426,A714789,Juliet,06-12-15 13:34,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black,90,Female,Yes,Sunday,Dec,15,True,14,Afternoon
3427,A711737,Juan,13-09-15 17:48,Adoption,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby,150,Male,Yes,Sunday,Sep,15,True,18,Evening
3428,A720040,Rocky,04-02-16 17:10,Return,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White,365,Male,Yes,Thursday,Feb,16,False,17,Evening
3429,A718451,None,08-01-16 19:11,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Torbie,730,Female,Yes,Friday,Jan,16,False,19,Evening
3430,A696600,None,09-02-15 9:00,Transfer,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby/White,730,Unknown,Unknown,Monday,Feb,15,False,9,Morning
3431,A706339,Walker,01-07-15 16:31,Adoption,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Black/White,90,Male,Yes,Wednesday,Jul,15,False,17,Evening
3432,A686007,Manches,24-08-14 18:59,Return,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White/Brown,730,Male,Yes,Sunday,Aug,14,True,19,Evening
3433,A692905,Sasha,02-12-14 17:25,Adoption,Dog,Spayed Female,2 months,German Shepherd Mix,Cream,60,Female,Yes,Tuesday,Dec,14,False,17,Evening
3434,A720939,Candy,20-02-16 16:48,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White,365,Female,Yes,Saturday,Feb,16,True,17,Evening
3435,A682375,Lexi,18-01-15 17:31,Adoption,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Tan,1825,Female,Yes,Sunday,Jan,15,True,18,Evening
3436,A714214,Bella,09-11-15 12:54,Adoption,Cat,Intact Female,3 months,Domestic Shorthair Mix,Brown Tabby,90,Female,No,Monday,Nov,15,False,13,Afternoon
3437,A695542,Dean,23-01-15 13:27,Return,Dog,Neutered Male,1 year,Golden Retriever Mix,Brown,365,Male,Yes,Friday,Jan,15,False,13,Afternoon
3438,A678181,Buki,27-05-14 17:21,Transfer,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black,365,Male,Yes,Tuesday,May,14,False,17,Evening
3439,A706670,Jake,06-07-15 15:49,Transfer,Dog,Neutered Male,2 years,Basenji Mix,Red/White,730,Male,Yes,Monday,Jul,15,False,16,Afternoon
3440,A704509,None,06-06-15 9:00,Transfer,Cat,Unknown,1 year,Domestic Shorthair Mix,Blue,365,Unknown,Unknown,Saturday,Jun,15,True,9,Morning
3441,A675168,Faline,06-04-14 17:01,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Blue/Tan,365,Female,Yes,Sunday,Apr,14,True,17,Evening
3442,A683212,X,24-07-14 12:48,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,365,Male,Yes,Thursday,Jul,14,False,13,Afternoon
3443,A669174,Finnegan,04-07-14 9:42,Adoption,Dog,Neutered Male,6 years,Pointer Mix,White/Brown,2190,Male,Yes,Friday,Jul,14,False,10,Morning
3444,A686869,None,29-08-14 9:00,Transfer,Cat,Intact Female,5 months,Domestic Medium Hair Mix,Torbie,150,Female,No,Friday,Aug,14,False,9,Morning
3445,A696101,Buster,09-02-15 11:40,Return,Dog,Neutered Male,12 years,Miniature Schnauzer Mix,White,4380,Male,Yes,Monday,Feb,15,False,12,Morning
3446,A675802,None,01-04-14 12:41,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White/Brown,14,Unknown,Unknown,Tuesday,Apr,14,False,13,Afternoon
3447,A714703,None,27-10-15 12:19,Transfer,Cat,Intact Male,2 weeks,Domestic Medium Hair Mix,Black,14,Male,No,Tuesday,Oct,15,False,12,Morning
3448,A663901,Pandora,31-12-13 16:45,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,365,Female,Yes,Tuesday,Dec,13,False,17,Evening
3449,A719271,Cuddlebug,24-01-16 13:22,Adoption,Dog,Neutered Male,5 months,Chihuahua Shorthair Mix,Brown/Black,150,Male,Yes,Sunday,Jan,16,True,13,Afternoon
3450,A695539,None,18-01-15 9:00,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby/White,365,Male,No,Sunday,Jan,15,True,9,Morning
3451,A715694,None,26-12-15 13:34,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,60,Female,Yes,Saturday,Dec,15,True,14,Afternoon
3452,A704227,None,18-07-15 16:58,Adoption,Cat,Neutered Male,2 months,Domestic Longhair Mix,Black,60,Male,Yes,Saturday,Jul,15,True,17,Evening
3453,A682459,None,04-07-14 17:02,Adoption,Dog,Neutered Male,2 years,Bruss Griffon/Cairn Terrier,Buff/White,730,Male,Yes,Friday,Jul,14,False,17,Evening
3454,A694980,C,10-01-15 13:26,Return,Dog,Neutered Male,1 year,Norwich Terrier Mix,White/Tan,365,Male,Yes,Saturday,Jan,15,True,13,Afternoon
3455,A335182,Annie,03-01-14 11:04,Return,Dog,Spayed Female,10 years,Labrador Retriever/Pit Bull,Black Brindle,3650,Female,Yes,Friday,Jan,14,False,11,Morning
3456,A674094,Princess,11-03-14 18:43,Adoption,Dog,Spayed Female,3 years,Miniature Schnauzer/Miniature Poodle,Gray/White,1095,Female,Yes,Tuesday,Mar,14,False,19,Evening
3457,A695613,Archer,21-01-15 13:58,Return,Dog,Neutered Male,11 years,Bernese Mountain Dog Mix,Black/White,4015,Male,Yes,Wednesday,Jan,15,False,14,Afternoon
3458,A710998,None,01-09-15 9:00,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby,365,Female,No,Tuesday,Sep,15,False,9,Morning
3459,A619073,Rocco,26-12-14 15:27,Transfer,Dog,Neutered Male,3 years,Miniature Pinscher/Chihuahua Shorthair,Tan/Black,1095,Male,Yes,Friday,Dec,14,False,15,Afternoon
3460,A670432,Thunderdog,08-01-14 14:30,Return,Dog,Neutered Male,3 years,Labrador Retriever Mix,Brown/Black,1095,Male,Yes,Wednesday,Jan,14,False,15,Afternoon
3461,A664875,Lucy,10-10-13 17:04,Transfer,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Black,1825,Female,Yes,Thursday,Oct,13,False,17,Evening
3462,A700108,Myrtle,16-04-15 13:57,Transfer,Dog,Intact Female,1 year,Boxer Mix,Red/White,365,Female,No,Thursday,Apr,15,False,14,Afternoon
3463,A711225,Mason,09-09-15 10:47,Adoption,Cat,Neutered Male,6 months,Domestic Medium Hair Mix,Orange Tabby,180,Male,Yes,Wednesday,Sep,15,False,11,Morning
3464,A715310,Sugar,21-11-15 18:56,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair/Chinese Sharpei,Tan,730,Female,Yes,Saturday,Nov,15,True,19,Evening
3465,A675481,None,28-03-14 13:09,Transfer,Cat,Intact Male,3 days,Domestic Shorthair Mix,Black,3,Male,No,Friday,Mar,14,False,13,Afternoon
3466,A710350,Oso,03-10-15 13:14,Transfer,Dog,Neutered Male,3 months,Border Collie Mix,Black,90,Male,Yes,Saturday,Oct,15,True,13,Afternoon
3467,A672198,Teddy,11-02-14 16:29,Euthanasia,Dog,Intact Male,6 years,Pit Bull Mix,Red/White,2190,Male,No,Tuesday,Feb,14,False,16,Afternoon
3468,A700008,None,06-04-15 14:41,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Tabby,365,Female,No,Monday,Apr,15,False,15,Afternoon
3469,A674150,Angel,10-03-14 18:14,Euthanasia,Dog,Intact Female,9 years,Shih Tzu Mix,White/Brown,3285,Female,No,Monday,Mar,14,False,18,Evening
3470,A690037,Guzman,15-10-14 15:24,Return,Dog,Intact Male,2 years,Boston Terrier Mix,Black/White,730,Male,No,Wednesday,Oct,14,False,15,Afternoon
3471,A712323,Cookie,29-09-15 12:06,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,White/Black,60,Female,No,Tuesday,Sep,15,False,12,Morning
3472,A713770,None,16-10-15 17:22,Adoption,Dog,Spayed Female,5 years,Yorkshire Terrier/Miniature Schnauzer,Gray,1825,Female,Yes,Friday,Oct,15,False,17,Evening
3473,A678941,Kelly,10-07-14 12:42,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie,90,Female,Yes,Thursday,Jul,14,False,13,Afternoon
3474,A678863,Buster,17-05-14 17:37,Adoption,Dog,Neutered Male,7 months,Chihuahua Shorthair/Dachshund,Tan/White,210,Male,Yes,Saturday,May,14,True,18,Evening
3475,A711810,None,12-09-15 14:28,Transfer,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Brown Tabby,7,Unknown,Unknown,Saturday,Sep,15,True,14,Afternoon
